S001	data/S001_R1.fastq.gz	data/S001_R2.fastq.gz	results/S001
S002	data/S002_R1.fastq.gz	data/S002_R2.fastq.gz	results/S002
S003	data/S003_R1.fastq.gz	data/S003_R2.fastq.gz	results/S003
S004	data/S004_R1.fastq.gz	data/S004_R2.fastq.gz	results/S004
S005	data/S005_R1.fastq.gz	data/S005_R2.fastq.gz	results/S005
S006	data/S006_R1.fastq.gz	data/S006_R2.fastq.gz	results/S006
S007	data/S007_R1.fastq.gz	data/S007_R2.fastq.gz	results/S007
S008	data/S008_R1.fastq.gz	data/S008_R2.fastq.gz	results/S008
S009	data/S009_R1.fastq.gz	data/S009_R2.fastq.gz	results/S009
S010	data/S010_R1.fastq.gz	data/S010_R2.fastq.gz	results/S010
